airportcode,passengers2019,quarter,fareinflationadj,winter,spring,summer,fall,northeast,midwest,south,west
LAX," 1,401,452 ",1,446.50,1,0,0,0,0,0,0,1
ORD," 1,118,136 ",1,425.45,1,0,0,0,0,1,0,0
DEN," 1,035,031 ",1,368.62,1,0,0,0,0,0,0,1
ATL," 980,434 ",1,464.88,1,0,0,0,0,0,1,0
BOS," 935,978 ",1,426.99,1,0,0,0,1,0,0,0
SFO," 912,366 ",1,462.67,1,0,0,0,0,0,0,1
SEA," 902,901 ",1,400.03,1,0,0,0,0,0,0,1
EWR," 849,241 ",1,517.30,1,0,0,0,1,0,0,0
DFW," 819,377 ",1,463.02,1,0,0,0,0,0,1,0
JFK," 760,592 ",1,480.22,1,0,0,0,1,0,0,0
LGA," 720,310 ",1,423.42,1,0,0,0,1,0,0,0
MCO," 709,887 ",1,340.18,1,0,0,0,0,0,1,0
PHX," 701,600 ",1,391.13,1,0,0,0,0,0,0,1
MSP," 644,236 ",1,487.12,1,0,0,0,0,1,0,0
LAS," 631,585 ",1,284.61,1,0,0,0,0,0,0,1
PHL," 607,992 ",1,467.78,1,0,0,0,1,0,0,0
SAN," 568,746 ",1,400.40,1,0,0,0,0,0,0,1
DTW," 565,317 ",1,464.08,1,0,0,0,0,1,0,0
FLL," 536,275 ",1,319.06,1,0,0,0,0,0,1,0
BWI," 536,148 ",1,365.73,1,0,0,0,0,0,1,0
DCA," 516,863 ",1,405.54,1,0,0,0,0,0,1,0
IAH," 498,139 ",1,508.83,1,0,0,0,0,0,1,0
PDX," 481,330 ",1,401.95,1,0,0,0,0,0,0,1
TPA," 452,816 ",1,361.69,1,0,0,0,0,0,1,0
AUS," 412,378 ",1,429.19,1,0,0,0,0,0,1,0
SLC," 391,333 ",1,437.16,1,0,0,0,0,0,0,1
CLT," 386,574 ",1,506.97,1,0,0,0,0,0,1,0
SJC," 384,362 ",1,355.30,1,0,0,0,0,0,0,1
RDU," 364,230 ",1,431.47,1,0,0,0,0,0,1,0
MIA," 353,159 ",1,463.92,1,0,0,0,0,0,1,0
SMF," 353,135 ",1,403.36,1,0,0,0,0,0,0,1
BNA," 351,195 ",1,424.31,1,0,0,0,0,0,1,0
MDW," 339,365 ",1,348.24,1,0,0,0,0,1,0,0
OAK," 330,576 ",1,320.25,1,0,0,0,0,0,0,1
STL," 315,638 ",1,418.61,1,0,0,0,0,1,0,0
MCI," 299,998 ",1,418.89,1,0,0,0,0,1,0,0
HNL," 295,221 ",1,389.94,1,0,0,0,0,0,0,1
IAD," 283,462 ",1,501.33,1,0,0,0,0,0,1,0
DAL," 279,833 ",1,305.84,1,0,0,0,0,0,1,0
CLE," 275,412 ",1,420.50,1,0,0,0,0,1,0,0
MSY," 267,473 ",1,375.28,1,0,0,0,0,0,1,0
IND," 266,197 ",1,438.58,1,0,0,0,0,1,0,0
PIT," 264,483 ",1,432.50,1,0,0,0,1,0,0,0
SNA," 253,110 ",1,412.14,1,0,0,0,0,0,0,1
CVG," 250,926 ",1,511.64,1,0,0,0,0,1,0,0
SAT," 238,614 ",1,442.02,1,0,0,0,0,0,1,0
HOU," 235,116 ",1,370.75,1,0,0,0,0,0,1,0
CMH," 231,767 ",1,452.97,1,0,0,0,0,1,0,0
BDL," 206,307 ",1,425.31,1,0,0,0,1,0,0,0
