id,brand,year,age,ebony,length,restored,electronics,unique,price
14,bluthner,1910,111,0,167,1,0,1,89500
70,bluthner,1990,31,0,190,0,1,0,38637
116,bluthner,1902,119,1,190.5,1,0,0,28590
30,bluthner,2009,12,1,234,0,0,0,59999
124,bosendorfer,1924,97,1,170,1,0,0,25000
15,bosendorfer,2004,17,0,185,1,0,1,89500
24,bosendorfer,2002,19,1,185,1,0,0,72500
59,bosendorfer,1951,70,1,275,1,0,0,45000
8,bosendorfer,1998,23,0,290,0,0,0,100000
19,hamburg,1965,56,1,211,1,0,0,78000
37,hamburg,1902,119,1,180,1,0,0,55500
57,hamburg,2006,15,1,180,0,0,0,45385
18,hamburg,1992,29,1,274,0,0,1,79000
216,kawai,2015,6,1,151,0,1,0,14300
204,kawai,1999,22,0,155,0,1,0,15000
196,kawai,2000,21,1,164,1,0,0,15999
222,kawai,1996,25,0,164,0,0,0,12500
250,kawai,1995,26,1,164,0,0,0,10900
248,kawai,2015,6,1,165,0,0,0,10999
223,kawai,1999,22,1,178,0,0,0,13050
226,kawai,2015,6,1,178,0,0,0,12800
211,kawai,1998,23,1,178,0,1,0,14900
208,kawai,1984,37,1,185,0,1,0,14999
169,kawai,1965,56,0,188,0,0,0,19500
233,kawai,1989,32,1,274,0,0,0,12000
253,kawai,2016,5,1,157,0,0,0,10500
185,kawai,1986,35,1,206,0,0,0,15999
247,kawai,1981,40,0,178,0,0,1,11000
235,kawai,1985,36,1,178,0,0,0,12000
246,petrof,2002,19,0,158,0,1,0,11000
147,petrof,2002,19,0,173,0,0,0,22000
139,petrof,2003,18,1,173,0,0,0,24000
218,petrof,1996,25,1,173,0,0,0,14000
232,petrof,2004,17,0,173,0,0,0,12000
188,petrof,2005,16,0,183,0,0,0,16995
119,petrof,2000,21,1,244,0,0,0,26900
104,petrof,2000,21,1,234,1,1,0,32890
197,schimmel,2000,21,0,183,0,0,0,15999
48,schimmel,1991,30,0,208,1,0,0,49500
97,schimmel,2011,10,1,208,0,1,0,34900
39,steinway,1997,24,0,148,0,0,1,54900
50,steinway,1924,97,0,148,1,0,0,49500
53,steinway,1926,95,0,148,1,1,1,46590
69,steinway,1927,94,0,148,1,0,1,39950
71,steinway,1924,97,1,148,1,0,0,40540
77,steinway,1934,87,0,148,1,0,0,39500
81,steinway,1931,90,0,148,1,0,0,39500
83,steinway,1998,23,1,148,0,0,0,38288
91,steinway,1945,76,1,148,1,0,0,36850
105,steinway,1925,96,1,148,1,0,0,31410
129,steinway,1989,32,1,148,0,0,0,25000
150,steinway,1979,42,1,148,0,0,0,21990
154,steinway,1959,62,0,148,1,0,0,21290
159,steinway,1927,94,1,148,1,0,0,19999
161,steinway,1973,48,0,148,0,0,0,19900
168,steinway,1926,95,0,148,1,0,0,19699
177,steinway,1936,85,1,148,1,0,0,18000
178,steinway,1970,51,0,148,0,0,0,17999
182,steinway,1942,79,0,148,1,0,0,17500
85,steinway,1936,85,0,155,1,0,0,38500
89,steinway,1997,24,0,155,0,0,0,37500
93,steinway,1940,81,0,155,1,0,0,36500
106,steinway,1936,85,1,155,1,0,1,30000
137,steinway,1939,82,1,155,1,0,0,22200
170,steinway,1963,58,1,155,0,0,0,18500
186,steinway,1959,62,0,155,1,0,0,16999
191,steinway,1939,82,0,155,0,0,0,16250
244,steinway,1878,143,0,163,0,0,0,11340
10,steinway,1917,104,0,170,0,0,1,92000
35,steinway,2013,8,0,170,0,0,0,59000
45,steinway,2013,8,0,170,0,0,0,49995
49,steinway,2013,8,1,170,0,0,0,49500
58,steinway,1994,27,0,170,0,0,1,44700
61,steinway,2005,16,0,170,0,0,0,44000
63,steinway,1921,100,1,170,1,0,0,39950
64,steinway,1924,97,0,170,1,0,0,42000
65,steinway,2001,20,1,170,0,0,0,42000
66,steinway,1930,91,1,170,1,0,0,42000
72,steinway,1983,38,1,170,1,0,0,38950
74,steinway,1953,68,1,170,0,0,1,40000
82,steinway,2001,20,0,170,0,1,1,39500
92,steinway,1944,77,0,170,1,0,0,36850
94,steinway,1926,95,1,170,1,0,0,34950
98,steinway,1927,94,1,170,1,0,0,34000
101,steinway,1995,26,1,170,0,0,0,33900
102,steinway,1912,109,0,170,1,0,0,33500
108,steinway,1927,94,0,170,0,0,0,30000
109,steinway,1922,99,1,170,0,1,0,29999
113,steinway,1996,25,1,170,0,0,0,29500
123,steinway,1967,54,0,170,1,0,0,26000
127,steinway,1990,31,0,170,0,0,0,25000
130,steinway,1916,105,1,170,1,0,0,24999
132,steinway,1926,95,1,170,1,0,0,24999
133,steinway,1926,95,1,170,1,0,0,24999
134,steinway,1929,92,0,170,1,0,0,24900
155,steinway,1935,86,0,170,1,0,0,21000
162,steinway,1914,107,0,170,0,0,0,19900
163,steinway,1932,89,0,170,0,0,0,19900
164,steinway,1961,60,0,170,0,0,0,19900
165,steinway,1929,92,0,170,0,0,0,19900
167,steinway,1969,52,0,170,0,0,0,19790
171,steinway,1922,99,1,170,1,0,0,18995
172,steinway,1917,104,0,170,0,0,0,18000
173,steinway,1926,95,0,170,1,0,0,17990
174,steinway,1912,109,0,170,1,0,0,18950
175,steinway,1917,104,0,170,1,0,0,18000
181,steinway,1925,96,1,170,0,0,0,16715
192,steinway,1943,78,0,170,0,0,0,14999
194,steinway,1949,72,1,170,1,0,0,16000
201,steinway,1927,94,0,170,1,0,0,15000
212,steinway,1940,81,0,170,1,0,0,14900
213,steinway,1932,89,0,170,0,0,1,14900
215,steinway,1972,49,0,170,0,0,0,14400
225,steinway,1917,104,0,170,1,0,0,12900
227,steinway,1958,63,0,170,0,0,0,12750
255,steinway,1906,115,0,170,0,0,0,10000
9,steinway,1913,108,0,180,0,0,0,94990
16,steinway,1913,108,0,180,0,0,1,85000
31,steinway,1919,102,0,180,1,0,1,60000
56,steinway,1916,105,0,180,1,0,0,45500
79,steinway,1923,98,0,180,0,0,0,39500
86,steinway,1920,101,0,180,1,0,0,38500
115,steinway,1909,112,0,180,1,1,0,28890
117,steinway,1922,99,0,180,1,0,0,28000
121,steinway,1922,99,1,180,1,0,0,26500
140,steinway,1909,112,0,180,1,0,0,23890
142,steinway,1909,112,0,180,1,0,0,22900
143,steinway,1918,103,0,180,1,0,0,22800
146,steinway,1909,112,1,180,1,0,0,22445
149,steinway,1917,104,0,180,1,0,0,21990
152,steinway,1912,109,1,180,0,0,0,21912
180,steinway,1909,112,0,180,1,0,0,17900
187,steinway,1904,117,0,180,1,0,0,16995
193,steinway,1912,109,0,180,1,0,0,16000
4,steinway,2012,9,0,188,0,0,1,185000
34,steinway,2008,13,1,188,0,0,0,59000
36,steinway,1909,112,0,188,1,0,0,58500
40,steinway,1920,101,0,188,1,0,1,54500
46,steinway,1906,115,1,188,1,0,1,49900
78,steinway,1906,115,0,188,1,0,1,39500
107,steinway,1907,114,1,188,1,0,1,30000
111,steinway,1910,111,0,188,1,0,1,29800
125,steinway,1877,144,0,188,1,0,0,25000
136,steinway,1889,132,1,188,0,0,0,24500
160,steinway,1895,126,1,188,1,0,0,19995
176,steinway,1892,129,1,188,1,0,0,18000
179,steinway,1913,108,0,188,0,0,0,17910
44,steinway,1916,105,1,188,1,0,0,49999
158,steinway,1889,132,0,188,0,0,1,20000
51,steinway,1914,107,0,188,0,0,1,48500
141,steinway,1917,104,0,188,0,0,0,23500
183,steinway,1923,98,0,188,1,0,0,17500
195,steinway,1915,106,0,188,1,0,0,16000
3,steinway,1912,109,0,211,1,0,1,300000
6,steinway,1911,110,0,211,1,0,1,125000
13,steinway,1896,125,1,211,1,0,0,89999
17,steinway,2014,7,1,211,0,0,0,85000
21,steinway,1886,135,0,211,1,0,1,75000
25,steinway,2003,18,1,211,0,0,0,69950
26,steinway,2008,13,1,211,0,1,0,69250
32,steinway,1960,61,0,211,1,0,0,59872.5
33,steinway,1931,90,1,211,1,0,0,57950
38,steinway,1878,143,1,211,1,0,1,54998
41,steinway,1982,39,0,211,1,0,0,52950
42,steinway,1947,74,1,211,1,0,1,49650
43,steinway,2013,8,0,211,0,1,0,49600
54,steinway,1993,28,1,211,0,0,0,45000
55,steinway,1986,35,1,211,1,0,1,45000
62,steinway,1970,51,1,211,0,0,0,43000
68,steinway,1985,36,1,211,1,0,0,39950
73,steinway,1948,73,1,211,0,0,0,38888
75,steinway,1919,102,0,211,1,0,0,40000
76,steinway,1927,94,0,211,1,0,0,39900
80,steinway,1935,86,0,211,0,0,1,39500
84,steinway,1910,111,0,211,1,0,0,38900
88,steinway,1988,33,1,211,0,1,0,37950
90,steinway,1921,100,1,211,1,0,0,37000
